?docid	?edge_type	?is_assertion_negated	?object_cluster	?objectmo	?objectmo_metatype	?is_objectmo_negated	?oinf_j_span	?object_type	?subject_cluster	?subjectmo	?subjectmo_metatype	?is_subjectmo_negated	?sinf_j_span	?subject_type	?ej_span	?objectc_handle	?edge_cj_cv	?oinf_j_cv	?obcm_cv	?sinf_j_cv	?sbcm_cv
L0C04AJNP	A1_ppt___complied_with	NotNegated	cluster-NILCEML0C04AJNP.002082	cluster-NILCEML0C04AJNP.002082-prototype	Entity	NotNegated	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	Q15621286	cluster-NILCVML0C04AJNP.002310	cluster-NILCVML0C04AJNP.002310-prototype	Event	NotNegated	NULL	Q1399332	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	mask mandate for indoors spaces	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04AJNP	AM_loc__location	NotNegated	cluster-NILCEML0C04AJNP.002092	cluster-NILCEML0C04AJNP.002092-prototype	Entity	NotNegated	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	Q27096235	cluster-NILCVML0C04AJNP.002310	cluster-NILCVML0C04AJNP.002310-prototype	Event	NotNegated	NULL	Q1399332	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	indoors	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04AJNP	A0_pag_pivot_wearer	NotNegated	cluster-NILCEML0C04AJNP.002097	cluster-NILCEML0C04AJNP.002097-prototype	Entity	NotNegated	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	Q215627	cluster-NILCVML0C04AJNP.002554	cluster-NILCVML0C04AJNP.002554-prototype	Event	NotNegated	NULL	P3828	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	people	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04AJNP	EMPTY_REF	NotNegated	cluster-NILCEML0C04AJNP.003010	cluster-NILCEML0C04AJNP.003010-prototype	Entity	NotNegated	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	Q4936952	cluster-NILCVML0C04AJNP.002554	cluster-NILCVML0C04AJNP.002554-prototype	Event	NotNegated	NULL	P3828	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	nose	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04AJNP	A1_ppt_theme_clothing	NotNegated	cluster-NILCEML0C04AJNP.002087	cluster-NILCEML0C04AJNP.002087-prototype	Entity	NotNegated	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	Q161524	cluster-NILCVML0C04AJNP.002554	cluster-NILCVML0C04AJNP.002554-prototype	Event	NotNegated	NULL	P3828	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	masks	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04AJNP	EMPTY_REF	NotNegated	cluster-NILCEML0C04AJNP.003015	cluster-NILCEML0C04AJNP.003015-prototype	Entity	NotNegated	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	Q4936952	cluster-NILCVML0C04AJNP.002554	cluster-NILCVML0C04AJNP.002554-prototype	Event	NotNegated	NULL	P3828	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	mouth	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04AJNP	A0_pag_agent_first_communicator	NotNegated	cluster-NILCEML0C04AJNP.002112	cluster-NILCEML0C04AJNP.002112-prototype	Entity	NotNegated	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	Q11974939	cluster-NILCVML0C04AJNP.002574	cluster-NILCVML0C04AJNP.002574-prototype	Event	NotNegated	NULL	Q11024	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	health professionals	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04AJNP	A0_pag_agent_asker	NotNegated	cluster-NILCEML0C04AJNP.002147	cluster-NILCEML0C04AJNP.002147-prototype	Entity	NotNegated	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	Q167037	cluster-NILCVML0C04AJNP.002648	cluster-NILCVML0C04AJNP.002648-prototype	Event	NotNegated	NULL	Q22445448	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	Target org	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04AJNP	A0_pag_agent_asker	NotNegated	cluster-NILCEML0C04AJNP.002152	cluster-NILCEML0C04AJNP.002152-prototype	Entity	NotNegated	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	Q167037	cluster-NILCVML0C04AJNP.002668	cluster-NILCVML0C04AJNP.002668-prototype	Event	NotNegated	NULL	Q22445448	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	Walmart org	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
L0C04AJNP	A0_pag_agent_asker	NotNegated	cluster-NILCEML0C04AJNP.002162	cluster-NILCEML0C04AJNP.002162-prototype	Entity	NotNegated	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	Q167037	cluster-NILCVML0C04AJNP.002688	cluster-NILCVML0C04AJNP.002688-prototype	Event	NotNegated	NULL	Q22445448	L0C04AJNP:L0C04ATJY:(1,0)-(5941,0)	Kroger org	1.0E0	1.0E0	"1.0"	"1.0"	"1.0"
